GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG47375	12	12	Xh	sp|Q944L7|SLP2_ARATH Shewanella-like protein phosphatase 2
VOG47389	23	23	Xr	sp|O22010|VXIS_BPSF5 Excisionase
VOG47400	377	375	XhXs	sp|P16011|BP53_BPT4 Baseplate wedge protein gp53
VOG47441	2	2	Xs	sp|A0A7H0DN15|PG042_MONPV Virion nicking-joining enzyme
VOG47444	3	3	XhXs	sp|Q6UDL6|EV45_PSHV1 Envelope protein UL45
VOG47484	2	2	XhXp	sp|P14334|US06_HCMVA Unique short US6 glycoprotein
VOG47505	13	13	Xh	sp|P68801|SAK_STAAM Staphylokinase
VOG47509	321	301	XhXr	sp|P24425|KITH_EHV4 Thymidine kinase
VOG47513	2	2	Xp	sp|P00641|ENDO_BPT7 Endonuclease I
VOG47522	46	46	Xh	sp|O57198|VLTF1_VACCA Late transcription factor 1
VOG47531	9	9	Xh	sp|Q2FYD8|PH_STAA8 Probable autolysin PH
VOG47552	106	105	Xs	sp|P28948|GM_EHV1B Envelope glycoprotein M
VOG47598	89	89	Xs	sp|Q06693|AC78_NPVAC Protein AC78
VOG47605	15	15	XhXpXs	sp|P52638|VGLG_BDVV Envelope glycoprotein p57
VOG47637	5	5	Xh	sp|Q5UPV7|YR277_MIMIV Uncharacterized protein R277
VOG47656	9	9	Xs	sp|Q5UQS3|YL330_MIMIV Uncharacterized protein L330
VOG47716	201	201	XhXp	sp|P10307|HOLIN_BPT3 Holin
VOG47750	11	9	XhXpXs	sp|Q6SW04|IRS1_HCMVM Protein IRS1
VOG47761	2	2	XrXs	sp|P27388|PKG22_BPPRD Packaging protein P22
VOG47789	56	56	XhXpXrXs	sp|P68930|TUB11_BPPH2 Proximal tail tube connector protein
VOG47806	5	5	Xh	sp|Q5UNT1|YL673_MIMIV Putative serine/threonine-protein kinase L673
VOG47851	2	2	XhXs	sp|P0CA26|VF123_ASFK5 Uncharacterized protein CP123L
VOG47864	16	16	Xr	sp|Q9MBW4|TERS_BPHK7 Terminase, small subunit
VOG47901	3	3	Xh	sp|Q5UQQ5|YR858_MIMIV Putative ankyrin repeat protein R858
VOG47908	3	3	XhXr	sp|P04520|PRIM_BPT4 DNA primase
VOG47967	4	4	Xr	sp|P27079|VXIS_BPP21 Excisionase
VOG47993	7	7	XhXp	sp|F5HCM1|VIE1_HCMVM Immediate early protein IE1
VOG48018	3	3	Xh	sp|P14363|V249_FOWPN Uncharacterized protein FPV249
VOG48097	3	3	XhXpXrXs	sp|A4KZ49|POLG_TRMVU Genome polyprotein
VOG48103	4	4	Xs	sp|O01999|PYHD_CPVCS Polyhedrin
VOG48126	3	3	Xh	sp|Q5UQQ7|Y856_MIMIV Putative TPR repeat-containing protein R856
VOG48128	15	15	XpXrXs	sp|Q9MBY2|GP6_BPHK7 Head completion protein gp6
VOG48148	9	9	Xs	sp|P36284|CAPSD_SMSV1 Capsid protein VP1
VOG48170	4	4	XhXp	sp|P03206|BZLF1_EBVB9 Lytic switch protein BZLF1
VOG48190	2	2	XrXs	sp|O70790|PHOSP_RYSV Phosphoprotein
VOG48285	76	76	Xr	sp|Q9YKK9|LEF10_NPVAC Late expression factor 10
VOG48322	2	2	XhXp	sp|A0A7H0DNG1|IL1BP_MONPV Interleukin-1-binding protein
VOG48330	20	19	Xh	sp|A1CZG3|SKP1_NEOFI E3 ubiquitin ligase complex SCF subunit sconC
VOG48333	16	16	XpXrXs	sp|P03646|H_BPPHS Minor spike protein H
VOG48339	61	61	XhXr	sp|P07541|PKG16_BPPZA DNA packaging protein
VOG48354	5	5	XhXp	sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R
VOG48364	3	3	Xh	sp|Q5UPX1|YL289_MIMIV Putative ankyrin repeat protein L289
VOG48374	2	2	Xh	sp|P22229|E322_ADECG Early E3 22.2 kDa glycoprotein
VOG48386	142	141	Xp	sp|P03704|VRPI_BPT7 Bacterial RNA polymerase inhibitor
VOG48454	329	329	Xp	sp|A0A868BQY3|ACB1_BPFBB Anti-CBASS protein Acb1
VOG48511	210	209	XhXpXs	sp|P03742|FIB35_BPT4 Long-tail fiber protein gp35
VOG48516	2	2	XhXs	sp|P0CA48|VF145_ASFK5 Uncharacterized protein K145R
VOG48532	91	91	XhXp	sp|P03042|RPC2_LAMBD Transcriptional activator II
VOG48533	9	9	Xs	sp|Q5UQN7|CAPS3_MIMIV Probable capsid protein 3
VOG48541	2	2	XhXs	sp|P0CA94|VF199_ASFK5 Inner membrane protein E199L
VOG48550	7	7	XhXr	sp|Q08534|R1AB_BYVU Replicase polyprotein 1ab
VOG48551	9	9	XhXr	sp|P05842|NS1_BMDNV Initiator protein NS1
VOG48577	97	97	XhXr	sp|P41452|LEF8_NPVAC Probable DNA-directed RNA polymerase catalytic subunit
VOG48613	61	61	Xs	sp|P36865|VPHE_NPVLD Polyhedral envelope protein
VOG48644	5	5	Xh	sp|P07621|PARB_ECOLX Plasmid Partition par B protein
VOG48654	9	9	Xh	sp|Q5UR37|YR551_MIMIV Putative ankyrin repeat protein R551
VOG48665	4	4	XhXs	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2
VOG48685	17	17	XhXpXrXs	sp|P19712|POLG_CSFAT Genome polyprotein
VOG48723	6	6	Xs	sp|O09680|NEP_I85A7 Nuclear export protein
VOG48724	11	11	XhXpXrXs	sp|Q05128|VP40_EBOZM Matrix protein VP40
VOG48747	7	7	Xh	sp|Q5UQ49|HSP70_MIMIV Heat shock 70 kDa protein homolog
VOG48750	7	7	Xs	sp|Q5UP53|YL585_MIMIV Uncharacterized protein L585
VOG48756	7	7	XhXpXs	sp|P15316|HYLP1_BPH44 Hyaluronoglucosaminidase
VOG48770	71	71	XhXpXrXs	sp|P0CK07|MVP_SBMVG P3N-PIPO polyprotein
VOG48776	192	192	Xh	sp|P04418|END5_BPT4 Endonuclease V
VOG48798	2	2	Xh	sp|P17368|PG034_VACCW Protein OPG034
VOG48811	26	24	XhXp	sp|A0A7H0DNF5|PG193_MONPV Soluble interferon gamma receptor OPG193
VOG48824	282	282	Xr	sp|P13320|DSBA_BPT4 Double-stranded DNA-binding protein
VOG48873	10	10	Xs	sp|A0A385DVM6|THB_BPCA1 Tail hub protein B
VOG48887	8	7	Xh	sp|P24650|Y007_NPVAC Uncharacterized 23.6 kDa protein in LEF2-PH intergenic region
VOG48910	2	2	Xh	sp|A0A0H3MBJ2|PKN1_CHLT2 Serine/threonine-protein kinase Pkn1
VOG48912	154	154	Xh	sp|P39230|SPAC_BPT4 Protein spackle
VOG48948	75	75	XhXr	sp|P83695|DPS_BREBE DNA protection during starvation protein
VOG48958	37	37	XhXpXrXs	sp|Q7Y5N4|EXLYS_BPSP6 Peptidoglycan hydrolase gp36
VOG48989	5	5	Xh	sp|P21972|V061_FOWPN Putative CC-type chemokine FPV061
VOG48991	99	97	XhXrXs	sp|Q96684|CAP3_ADECR Pre-hexon-linking protein IIIa
VOG48998	56	56	Xh	sp|P41469|CMTR_NPVAC Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
VOG49087	2	2	Xh	sp|Q9K323|CEP_VIBCH Colonization factor
VOG49090	9	9	XhXs	sp|Q5UQG2|YL498_MIMIV Probable zinc-type alcohol dehydrogenase-like protein L498
VOG49095	3	3	Xh	sp|O13914|SYA_SCHPO Alanine--tRNA ligase
VOG49118	106	105	XrXs	sp|Q01029|PORTL_SHV21 Portal protein
VOG49125	4	4	Xs	sp|P04869|TGB2_BSMV Movement protein TGB2
VOG49143	2	2	XhXpXrXs	sp|Q6QGE2|TUBE_BPT5 Tail tube protein pb6
VOG49163	2	2	XhXs	sp|Q7Y5D9|COLLR_BPT5 Collar protein p132
VOG49179	148	137	XhXs	sp|P0DOL5|PG072_VAR67 Probable FAD-linked sulfhydryl oxidase OPG072
VOG49203	3	3	Xh	sp|Q5UPL9|YR151_MIMIV Uncharacterized acetyltransferase R151
VOG49207	15	14	Xh	sp|P01136|VGF_VACCW Pro-Viral epidermal growth factor
VOG49226	6	6	Xh	sp|Q6LZC4|WECB_METMP UDP-N-acetylglucosamine 2-epimerase
VOG49252	5	5	XhXpXrXs	sp|C0MHL9|POLG_SAFV Genome polyprotein
VOG49277	1112	1111	XhXr	sp|P00970|DNLI_BPT4 DNA ligase
VOG49340	2	2	XrXs	sp|P27387|PKG20_BPPRD Packaging protein P20
VOG49346	3	3	Xs	sp|Q38581|DECO_BPSPP Decoration protein gp12
VOG49349	2	2	Xh	sp|A0A7R7ZLE4|ACOMT_ASPCH Physcion biosynthesis cluster O-methyltransferase
VOG49367	65	63	Xs	sp|P59771|VME1_PEDV7 Membrane protein
VOG49434	103	103	XhXp	sp|P00513|PK_BPT7 Protein kinase 0.7
VOG49476	2	2	Xh	sp|Q9FHM7|HIR4_ARATH Hypersensitive-induced response protein 4
VOG49517	6	6	XhXp	sp|F5HF62|US28_HCMVM Envelope protein US28
VOG49541	2	2	Xh	sp|Q659L0|FUT9_PANTR 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9
VOG49594	4	4	Xr	sp|P32284|REPEA_BPT4 DNA replication protein repEA
VOG49596	113	112	XhXs	sp|P51772|BPX_BPP2 Baseplate protein X
VOG49645	655	408	XhXs	sp|P04535|CAPSH_BPT4 Major capsid protein
VOG49652	3	3	XpXs	sp|Q8V3T7|NCAP_ISAV8 Nucleoprotein
VOG49681	5	5	XhXpXrXs	sp|O39927|POLG_HCVEU Genome polyprotein
VOG49702	9	9	XhXpXrXs	sp|O91464|POLG_AIVA8 Genome polyprotein
VOG49738	7	7	XpXr	sp|P89679|2B_TOBSV Suppressor of silencing 2b
VOG49743	5	5	Xh	sp|Q0H8C2|NSP2_ROTB2 Non-structural protein 2
VOG49760	9	8	XhXs	sp|C0H677|UL298_HCMVA Protein UL29/UL28
VOG49762	3	3	XhXpXs	sp|P0C9Y5|P14_ASFK5 Protein p14.5
VOG49784	165	141	Xh	sp|Q38167|DMP_BPT5 5'-deoxynucleotidase
VOG49826	13	13	XhXrXs	sp|P90245|POL1_BAMMN Genome polyprotein 1
VOG49831	6	6	XhXp	sp|F5HF62|US28_HCMVM Envelope protein US28
VOG49914	2	2	Xp	sp|A3EXH1|NS7A_BCHK9 Non-structural protein 7a
VOG49938	45	44	Xh	sp|Q5UPZ9|GNA1_MIMIV Probable glucosamine 6-phosphate N-acetyltransferase
VOG49953	1151	1145	XhXpXrXs	sp|Q6QGD5|PORTL_BPT5 Portal protein
VOG50010	4	4	Xh	sp|P21680|VDHR_BP186 Protein dhr
VOG50028	5	5	Xs	sp|Q5UQ45|YL389_MIMIV Uncharacterized protein L389
VOG50051	2	2	Xh	sp|A4XKG5|NADD_CALS8 Probable nicotinate-nucleotide adenylyltransferase
VOG50082	11	7	Xh	sp|Q5UQA7|YR542_MIMIV Putative F-box/LRR-repeat protein R542
VOG50084	4	4	XhXr	sp|Q00140|VTER_ICHVA Probable DNA-packaging protein
VOG50175	4	2	XhXr	sp|Q008X6|R1AB_WBV24 Replicase polyprotein 1ab
VOG50207	151	150	Xh	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB
VOG50215	2	2	XpXrXs	sp|P27382|VP11_BPPRD Infectivity protein P11
VOG50223	25	25	Xh	sp|A0A7H0DN25|PG052_MONPV Protein OPG053
VOG50381	2	2	XhXs	sp|O39842|MAT_INCTA Polyprotein p42
VOG50384	18	18	XhXpXrXs	sp|P33515|POLG_MCFA Genome polyprotein
VOG50415	7	7	XpXs	sp|F5HET4|U131A_HCMVM Protein UL131A
VOG50421	379	379	XhXs	sp|P13339|BP48_BPT4 Baseplate tail-tube junction protein gp48
VOG50422	5	5	XhXr	sp|Q9DSN9|POLN_ABPVR Replicase polyprotein
VOG50463	12	12	XpXs	sp|P0CK21|PG076_VACCW Entry-fusion complex protein OPG076
VOG50526	63	63	Xr	sp|Q9T216|RDF_BPPHC Recombination directionality factor
VOG50528	145	145	XhXr	sp|A4ZU96|KTHY_ABVP Putative thymidylate kinase
VOG50553	3	3	Xs	sp|Q6UBL8|PB2_ISAV8 Polymerase basic protein 2
VOG50580	99	99	XhXpXrXs	sp|Q9T1S9|PORTL_BPAPS Portal protein
VOG50598	107	106	XhXs	sp|P25478|SCAF_BPP2 Capsid assembly scaffolding protein
VOG50633	4	4	XhXs	sp|P0CAG6|VF421_ASFK5 Uncharacterized protein K421R
VOG50636	5	5	Xs	sp|A9Q1K8|VP2_ROTB2 Inner capsid protein VP2
VOG50640	26	25	XhXr	sp|P07696|VPB_BPP2 Replication gene B protein
VOG50687	3	3	XhXrXs	sp|P27410|POLG_RHDVF Genome polyprotein
VOG50688	267	266	Xh	sp|P13316|GRCA_BPT4 Autonomous glycyl radical cofactor
VOG50719	51	50	Xs	sp|P54635|CAPSD_LORDV Capsid protein VP1
VOG50728	2	2	Xh	sp|A2RK47|BMPA_LACLM ABC transporter nucleoside-binding protein BmpA
VOG50780	4	4	XhXpXs	sp|P04577|ENV_HV2RO Envelope glycoprotein gp160
VOG50782	93	93	Xs	sp|P41483|E25_NPVAC Virus envelope protein E25
VOG50791	4	4	Xh	sp|Q7MD16|LUXQ_VIBVY Autoinducer 2 sensor kinase/phosphatase LuxQ
VOG50811	2	2	Xh	sp|P33222|YJFC_ECOLI Putative acid--amine ligase YjfC
VOG50817	35	35	Xs	sp|P27427|ENV_DHVI1 Envelope glycoprotein
VOG50835	6	6	XrXs	sp|G9HXM2|NCAP_QRFVE Nucleoprotein
VOG50863	16	16	XpXrXs	sp|P03643|G_BPPHS Major spike protein G
VOG50865	45	45	Xs	sp|P0DOM0|PG082_VARV Telomere-binding protein OPG082
VOG50867	100	99	Xs	sp|P89430|CEP1_HHV2H Cytoplasmic envelopment protein 1
VOG50895	2	2	Xh	sp|P38997|LYS1_YARLI Saccharopine dehydrogenase [NAD(+), L-lysine-forming]
VOG50942	10	10	Xs	sp|Q2Y0E8|CAPSD_APRVF Inner capsid protein VP3
VOG50955	19	19	Xh	sp|Q5UQ00|FPG_MIMIV Probable formamidopyrimidine-DNA glycosylase
VOG50974	11	11	Xh	sp|P0ABH9|CLPA_ECOLI ATP-dependent Clp protease ATP-binding subunit ClpA
VOG50977	11	11	XhXr	sp|F8RL29|R1AB_AMV79 Replicase polyprotein 1ab
VOG51010	4	4	XhXrXs	sp|Q6UP17|POLG_EOPV Genome polyprotein
VOG51046	3	3	XhXpXrXs	sp|C5MSH2|POLG_SALVA Genome polyprotein
VOG51047	2	2	Xh	sp|P42813|RNS1_ARATH Ribonuclease 1
VOG51054	2	2	Xr	sp|A4ZCW4|NSP3_ROTH3 Non-structural protein 3
VOG51083	5	5	Xs	sp|P41656|PIF4_NPVAC Per os infectivity factor 4
VOG51091	6	4	XhXp	sp|P19745|NS5B_IBVK Host translation inhibitor 5b
VOG51137	16	16	Xh	sp|P26748|SCAF_BPP22 Scaffolding protein
VOG51157	3	3	XhXrXs	sp|P0C9E6|RPB3_ASFP4 DNA-directed RNA polymerase RPB3-11 homolog
VOG51161	8	6	Xh	sp|P10835|MTC3_PBCVC Modification methylase CviBIII
VOG51163	5	5	XpXs	sp|P03561|CAPSD_CLVK Capsid protein
VOG51177	2	2	Xh	sp|P52460|CCU83_HHV6U Putative CC-type chemokine U83
VOG51220	34	34	XhXp	sp|P33863|PG065_VAR67 RNA-binding protein OPG065
VOG51226	410	407	XhXs	sp|P06807|PCPP_BPT4 Prohead core protein protease
VOG51254	2	2	Xr	sp|P03671|G5P_BPPF1 DNA-Binding protein G5P
VOG51260	166	166	XhXp	sp|Q80921|VE7_HPV48 Protein E7
VOG51281	45	45	XhXs	sp|Q6RZJ4|D3_RABPU 27 kDa core protein
VOG51315	2	2	Xs	sp|P27211|MP8_TNVD Probable movement protein p8
VOG51343	9	7	XhXpXs	sp|P10262|GAG_FLV Gag polyprotein
VOG51401	17	16	XhXp	sp|Q9Q8T2|LAP_RFVKA E3 ubiquitin-protein ligase LAP
VOG51425	2	2	Xr	sp|P20709|VINT_BPL54 Integrase
VOG51432	5	5	XhXr	sp|Q76L40|POL1_BBWVS RNA1 polyprotein
VOG51451	1245	958	XhXp	sp|P06855|KIPN_BPT4 Polynucleotide kinase
VOG51520	27	26	Xr	sp|F5HIG1|HEPA_HCMVM DNA helicase/primase complex-associated protein
VOG51531	7	6	XhXpXs	sp|A0A0A8JA06|DPO23_BPK64 Probable tail spike protein
VOG51541	6	3	XhXpXrXs	sp|P03599|POL2_CPMVS RNA2 polyprotein
VOG51573	3	3	Xh	sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B
VOG51583	2	2	Xh	sp|P0C8H0|VF859_ASFK5 Probable helicase A859L
VOG51589	3	3	XhXpXs	sp|P07566|POLS_RUBVT Structural polyprotein
VOG51609	15	14	Xh	sp|A0A7H0DNG9|PG015_MONPV Ankyrin repeat domain-containing protein OPG015
VOG51629	5	5	XhXpXrXs	sp|P03307|POLG_FMDV5 Genome polyprotein
VOG51655	2	2	Xp	sp|P04521|EXO1_BPT4 Exonuclease subunit 1
VOG51662	3	3	Xh	sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1
VOG51679	2	2	XhXs	sp|P0C9Z2|P30_ASFM2 Phosphoprotein p30
VOG51727	106	105	Xr	sp|P28932|DNBI_EHV1B Major DNA-binding protein
VOG51770	9	9	Xh	sp|Q5UQC3|PLOD_MIMIV Procollagen lysyl hydroxylase and glycosyltransferase
VOG51786	9	9	Xs	sp|P0C778|MP2_CARMS Double gene block protein 2
VOG51811	94	94	XpXs	sp|Q9YMJ7|ENV_NPVLD Envelope fusion protein
VOG51829	3	3	XrXs	sp|P19693|CAPSA_BPT3 Major capsid protein
VOG51903	7	7	XhXrXs	sp|P11124|RDRP_BPPH6 RNA-directed RNA polymerase
VOG51917	11	11	Xh	sp|A0A7H0DN04|PG030_MONPV Protein OPG030
VOG51962	2	2	XhXs	sp|P0C9Y1|P12_ASFK5 Inner membrane protein p12
VOG52050	8	8	Xh	sp|Q3HVN1|AGUB_SOLTU N-carbamoylputrescine amidase
VOG52065	678	676	XhXs	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25
VOG52079	2	2	Xs	sp|Q5UPM2|YR160_MIMIV Uncharacterized protein R160
VOG52134	47	47	Xp	sp|P03044|RPC3_LAMBD Protease inhibitor III
VOG52149	3	3	XhXs	sp|P0CAA7|CAPSP_ASFK5 Penton protein H240R
VOG52160	3	3	Xs	sp|Q6EWG8|POL2_CRLVP RNA2 polyprotein
VOG52174	11	11	Xh	sp|Q5UR20|YR366_MIMIV Putative ATP-dependent RNA helicase R366
VOG52207	378	377	XhXpXs	sp|D1L2W4|TUBE1_BPK32 Tail tubular protein A
VOG52231	149	147	XhXrXs	sp|P33453|L_UUKS RNA-directed RNA polymerase L
VOG52244	597	387	XhXs	sp|P17173|TAP51_BPT4 Baseplate hub assembly protein gp51
VOG52259	339	26	Xh	sp|Q5UP39|YR873_MIMIV Putative ankyrin repeat protein R873
VOG52273	46	46	XhXs	sp|P68493|PG085_VACCT Metalloendopeptidase OPG085
VOG52436	411	408	XhXpXrXs	sp|E1XTG6|PORTL_BPSAV Portal protein
VOG52461	47	43	Xh	sp|Q91FG9|VF355_IIV6 Putative CTD phosphatase-like protein 355R
VOG52485	6	6	XhXpXrXs	sp|O41174|POLG_PEV9U Genome polyprotein
VOG52490	7	7	Xh	sp|Q3ATZ1|PUR9_CHLCH Bifunctional purine biosynthesis protein PurH
VOG52497	2	2	Xh	sp|A6TCJ1|GRCA_KLEP7 Autonomous glycyl radical cofactor
VOG52543	48	47	XhXrXs	sp|O09705|L_LASSJ RNA-directed RNA polymerase L
VOG52555	24	24	Xh	sp|P15236|VFIL_BP186 Protein fil
VOG52589	117	106	Xp	sp|Q6QGS2|APNUC_BPT5 DNA-(apurinic or apyrimidinic site) endonuclease
VOG52636	28	17	XhXpXr	sp|Q9YN02|RPOA_PRRS1 Replicase polyprotein 1ab
VOG52644	6	6	XhXr	sp|P0A253|REP12_SALTI RepFIB replication protein A
VOG52657	235	235	Xh	sp|P68649|HEAD_ECOL6 P21 prophage-derived major head protein
VOG52659	2	2	XhXs	sp|P0CA70|VF169_ASFK5 Transmembrane protein B169L
VOG52721	27	27	XhXr	sp|Q8GWA2|MOC1_ARATH Holliday junction resolvase MOC1, chloroplastic
VOG52747	60	59	XhXp	sp|P03775|OCR_BPT7 Protein Ocr
VOG52763	2	2	XhXs	sp|Q6UDG2|US10_PSHV1 Virion protein US10 homolog
VOG52794	130	74	XhXrXs	sp|P19416|SF33K_ADE41 Protein 33K
VOG52881	10	7	Xh	sp|O16805|CP4D1_DROSI Cytochrome P450 4d1
VOG52882	8	7	Xh	sp|C0K3N1|TXVE_BITAR Snake venom vascular endothelial growth factor toxin barietin
VOG52903	9	9	Xh	sp|Q5UQE0|YR476_MIMIV Putative AAA family ATPase R476
VOG52932	160	160	Xs	sp|P27332|TGB2_LSV Movement protein TGB2
VOG52988	10	10	Xp	sp|P0DOF0|X_BDVV X protein
VOG53006	4	4	XhXpXs	sp|O90369|POLS_ONNVS Structural polyprotein
VOG53016	7	7	XhXr	sp|P06953|SSB_BPPZA Single-stranded DNA-binding protein
VOG53034	18	18	Xh	sp|O22007|GTRB_BPSF5 Bactoprenol glucosyl transferase
VOG53050	234	234	XhXrXs	sp|P11897|POLG_PVYYO Genome polyprotein (Fragment)
VOG53052	40	40	XhXpXrXs	sp|P05769|POLG_MVEV5 Genome polyprotein
VOG53056	54	54	XhXrXs	sp|Q8QMV9|MCEL_CWPXB mRNA-capping enzyme catalytic subunit
VOG53061	48	33	Xs	sp|Q9QR70|ORF75_HHV8P Protein ORF75
VOG53068	18	18	Xh	sp|P38393|KILR_ECOLI Killing protein KilR
VOG53080	23	23	XhXs	sp|P17375|VP7_BTV13 Core protein VP7
VOG53114	4	4	XhXs	sp|Q6E0W8|MATRX_MMVR Matrix protein
VOG53125	2	2	Xh	sp|Q5UPI9|YL109_MIMIV Putative ankyrin repeat protein L109
VOG53127	40	39	Xs	sp|O41518|CAPSD_GLRV3 Capsid protein
VOG53151	27	27	XhXr	sp|Q84424|MCE_PBCV1 mRNA-capping enzyme
VOG53160	2	2	Xs	sp|P03621|CAPSD_BPPF1 Capsid protein G8P
VOG53176	4	4	XpXs	sp|P07067|FIB37_BPT2 Long tail fiber protein Gp37
VOG53182	10	10	XhXpXrXs	sp|O73556|POLG_HPE2W Genome polyprotein
VOG53232	2	2	Xh	sp|P22409|TRA_STRLI Protein Tra
VOG53260	29	27	XrXs	sp|Q0PI70|NCAP_EMARV Nucleoprotein
VOG53277	4	4	Xr	sp|Q9T0V1|REPEB_BPT4 DNA replication protein repEB
VOG53317	2	2	XhXr	sp|P25479|VPP_BPP2 Terminase, ATPase subunit
VOG53353	4	4	XhXr	sp|Q42877|RPB2_SOLLC DNA-directed RNA polymerase II subunit RPB2
VOG53372	71	54	Xh	sp|P32839|BCS1_YEAST Mitochondrial chaperone BCS1
VOG53374	9	9	XhXs	sp|Q5UQK1|YR407_MIMIV Putative RNA methyltransferase R407
VOG53405	18	17	Xh	sp|P0A901|BLC_ECOLI Outer membrane lipoprotein Blc
VOG53429	2	2	XhXp	sp|P0CAA1|VF226_ASFK5 Late protein I226R
VOG53456	32	23	XhXpXr	sp|P0C6V6|R1A_PEDV7 Replicase polyprotein 1a
VOG53491	2	2	Xh	sp|O25526|PATA_HELPY Peptidoglycan O-acetyltransferase
VOG53541	9	9	Xs	sp|Q5UQT3|YR347_MIMIV Uncharacterized protein R347
VOG53570	5	5	Xp	sp|Q6TM71|ACR31_BPD31 Anti-CRISPR protein 31
VOG53597	2	2	Xs	sp|P22536|P5_BPPRD Spike protein P5
VOG53625	7	7	Xh	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP
VOG53669	3	3	Xh	sp|P07040|REPC_BPD10 Repressor c protein
VOG53673	243	242	XhXs	sp|P10104|WAC_BPT4 Fibritin
VOG53682	4	3	XhXp	sp|A9JM73|I329L_ASFPP Transmembrane protein I329L
VOG53701	10	10	XhXp	sp|P03655|G1P_BPFD Gene 1 protein
VOG53706	5	5	Xh	sp|Q5UQG7|YR818_MIMIV Putative serine/threonine-protein kinase/receptor R818
VOG53799	3	3	Xs	sp|A1XIQ1|POL2_TOTV RNA2 polyprotein
VOG53831	83	57	Xs	sp|A0A385DVC3|RING4_BPCA1 Ring protein 4/5
VOG53838	49	49	Xh	sp|P28954|NEC2_EHV1B Nuclear egress protein 2
VOG53851	17	17	Xh	sp|Q4JBY3|QUEC_SULAC 7-cyano-7-deazaguanine synthase
VOG53894	2	2	XhXr	sp|B4YNF3|V13_SPTNK Putative helicase V13
VOG53906	3	3	Xs	sp|P15900|CAPSD_SPV1R Putative capsid protein ORF9
VOG53930	10	10	Xr	sp|C4K832|CSRA_HAMD5 Translational regulator CsrA
VOG53962	8	8	Xh	sp|Q58MU6|PEBS_BPPRM Phycoerythrobilin synthase
VOG53966	5	5	Xh	sp|P50359|Y4HO_SINFN Uncharacterized protein y4hO
VOG53984	41	41	XhXpXs	sp|P0DOR3|PG078_VAR67 Protein OPG078
VOG53990	533	519	Xh	sp|P32277|RLIG2_BPT4 RNA ligase 2
VOG54029	473	258	XhXpXrXs	sp|P12296|POLG_ENMGO Genome polyprotein
VOG54040	2	2	Xp	sp|Q65204|VFE66_ASFB7 Host translation inhibitor E66L
VOG54052	99	98	XhXr	sp|P03264|DNB2_ADE02 DNA-binding protein
VOG54090	100	99	XhXpXs	sp|Q84176|CAPSP_ADEP3 Penton protein
VOG54096	6	5	XhXpXr	sp|P0C6F7|R1A_BC133 Replicase polyprotein 1a
VOG54139	2	2	Xs	sp|A0A1W6I186|NCAP_SPV1 Nucleocapsid VP1
VOG54171	24	24	XhXs	sp|P07132|VP4_BTV10 Core protein VP4
VOG54267	6	3	Xp	sp|Q89584|DR6_HHV6U G2/M cell-cycle inhibitor DR6
VOG54276	2	2	XhXs	sp|P0CAD9|VF317_ASFK5 Uncharacterized protein F317L
VOG54280	26	26	XpXrXs	sp|A0AAE9G628|TUBE_BPSPR Tail tube protein
VOG54302	2	2	Xh	sp|F5HB52|US08_HCMVM Membrane glycoprotein US8
VOG54381	36	36	XpXs	sp|Q9DIC6|GLYCO_LNYV3 Glycoprotein
VOG54393	7	7	Xs	sp|Q5UQK6|YR402_MIMIV Uncharacterized protein R402
VOG54428	4	4	Xr	sp|P9WKH6|TS57_MYCTO Transposase for insertion sequence element IS1557
VOG54460	44	44	XhXpXrXs	sp|P12915|POLG_BOVEV Genome polyprotein
VOG54465	9	9	Xs	sp|Q5UQ64|YR653_MIMIV Uncharacterized protein R653
VOG54485	3	3	Xh	sp|P0C9E0|TPRT_ASFP4 Trans-prenyltransferase
VOG54487	5	5	XpXs	sp|P03323|GAG_AVIMC Gag polyprotein
VOG54519	2	2	XhXpXrXs	sp|A0A024B7W1|POLG_ZIKVF Genome polyprotein
VOG54528	7	7	XhXr	sp|P17965|RDRP_PVMR RNA replication polyprotein
VOG54563	390	390	Xr	sp|P04527|LOADS_BPT4 Sliding-clamp-loader small subunit
VOG54659	12	11	Xh	sp|P49541|YCF46_TRICV Uncharacterized AAA domain-containing protein ycf46
VOG54748	104	103	Xr	sp|P84401|PRIM_EHV1V DNA primase
VOG54763	422	421	Xs	sp|P19060|BP06_BPT4 Baseplate wedge protein gp6
VOG54795	5	5	Xh	sp|I6XEI5|LYS25_MYCTU Putative peptidoglycan hydrolase Rv2525c
VOG54846	7	6	XhXrXs	sp|C1JCT2|POLFS_SINV3 Polyprotein-FSD
VOG54852	270	269	XhXpXs	sp|P08490|POLG_ECHO9 Genome polyprotein (Fragment)
